"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19812","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23427","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19813","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23432","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19814","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23432","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19815","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23433","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19816","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23433","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19817","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23461","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19818","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23461","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19819","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23460","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19820","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23460","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19821","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23468","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
