"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"13769","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2023-2024/99995","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","04-Jul-2025","CHANDRA MOHAN KOTHIYAL","Payment Success","999363"
"13770","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2023-2024/99994","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","13-Jun-2025","CHANDRA MOHAN KOTHIYAL","Payment Success","550000"
"13771","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2023-2024/99996","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","18-Oct-2025","CHANDRA MOHAN KOTHIYAL","Payment Success","459322"
"13772","Uttarakhand","Construction of toilet blocks","WS/MP850/2024-2025/105500","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","18-Oct-2025","CHANDRA MOHAN KOTHIYAL","Payment Success","299816"
"13773","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/99993","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","04-Jul-2025","CHANDRA MOHAN KOTHIYAL","Payment Success","499553"
"13774","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2025-2026/200410","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","21-Feb-2026","ANAVEER SINGH CHAUHAN","Payment Success","562927"
"13775","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP850/2023-2024/87160","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","25-Nov-2024","ANAVEER SINGH CHAUHAN","Payment Success","298429"
"13776","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2023-2024/105494","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","25-Nov-2024","AJAY KUMAR","Payment Success","298941"
"13777","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2023-2024/87161","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","25-Nov-2024","AJAY KUMAR","Payment Success","1298707"
"13778","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2025-2026/200407","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","27-Nov-2025","DALBIR SINGH CHAUHAN","Payment Success","1008026"
"13779","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2025-2026/200408","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","27-Nov-2025","PREM SINGH","Payment Success","1004080"
"13780","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP850/2023-2024/85459","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","27-Mar-2025","PREM SINGH","Payment Success","1000000"
"13781","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP850/2025-2026/184274","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","19-Sep-2025","PREM SINGH","Payment Success","1269326"
"13782","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP225/2025-2026/214152","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","08-Oct-2025","GRAM PANCHAYAT BHUIGAON","Payment Success","400000"
"13783","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP225/2025-2026/214152","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","13-Feb-2026","GRAM PANCHAYAT BHUIGAON","Payment Success","586530"
"13784","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/191663","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","22-Sep-2025","Gram Panchayat Makhrol","Payment Success","100000"
"13785","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13585","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","04-Nov-2024","BDO MPLAD Lok Sabha and Rajya Sabha","Payment Success","100000"
"13786","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/115460","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","11-Nov-2024","BDO MPLAD Lok Sabha and Rajya Sabha","Payment Success","50000"
"13787","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/115461","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","11-Nov-2024","BDO MPLAD Lok Sabha and Rajya Sabha","Payment Success","100000"
"13788","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13582","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","18-Dec-2024","BDO MPLAD Lok Sabha and Rajya Sabha","Payment Success","100000"
"13789","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","18-Aug-2026","MS ARORA BRICK CO","Payment Success","32000"
"13790","Punjab","Construction of buildings for multi-gym","WS/MP141/2026-2027/267112","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","18-Aug-2026","MS ARORA BRICK CO","Payment Success","24000"
"13791","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2023-2024/82553","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","25-Aug-2024","SHRI BHADARIYA RAI ENTERPRISES","Payment Success","750000"
"13792","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2023-2024/82553","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","01-Mar-2025","SHRI BHADARIYA RAI ENTERPRISES","Payment Success","245000"
"13793","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/199340","GADAG(Deputy Commsioner Gadag_ida)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","22-Jul-2025","Project Manager Nirmiti kendra gadag","Payment Success","450000"
"13794","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/199341","GADAG(Deputy Commsioner Gadag_ida)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","30-Sep-2025","Project Manager Nirmiti kendra gadag","Payment Success","450000"
"13795","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/156774","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","09-May-2025","KAMBOJ ASSOCIATES","Payment Success","398000"
"13796","Uttarakhand","Construction of additional rooms and halls in the existing public and community building","WS/MP204/2025-2026/154623","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-Apr-2026","KAMBOJ ASSOCIATES","Payment Success","1496250"
"13797","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2024-2025/174232","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","10-Oct-2025","KAMBOJ ASSOCIATES","Payment Success","994450"
"13798","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/184086","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","10-Oct-2025","KAMBOJ ASSOCIATES","Payment Success","795016"
"13799","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/201958","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","14-Aug-2026","SUNEERA","Payment Success","499424"
"13800","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP102/2025-2026/223206","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","03-Jan-2026","SUNEERA","Payment Success","847438"
"13801","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP838/2024-2025/74999","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","26-Jul-2024","NAVEENKUMAR K R","Payment Success","375000"
"13802","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP838/2024-2025/74999","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","30-Oct-2024","NAVEENKUMAR K R","Payment Success","124174"
"13803","Madhya Pradesh","Construction of culverts and bridges","WS/MP107/2024-2025/132884","SEONI(District Collector Seoni_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","31-Jul-2024","MALGUJAR CONSTRUTION GOTEGAON","Payment Success","899500"
"13804","Madhya Pradesh","Construction of culverts and bridges","WS/MP107/2024-2025/132885","SEONI(District Collector Seoni_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","31-Jul-2024","MALGUJAR CONSTRUTION GOTEGAON","Payment Success","899500"
"13805","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2024-2025/132882","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","05-Aug-2024","MALGUJAR CONSTRUTION GOTEGAON","Payment Success","1250000"
"13806","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2024-2025/132882","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","13-Nov-2024","MALGUJAR CONSTRUTION GOTEGAON","Payment Success","250000"
"13807","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2024-2025/132881","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","05-Aug-2024","MALGUJAR CONSTRUTION GOTEGAON","Payment Success","1250000"
"13808","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2024-2025/132881","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","13-Nov-2024","MALGUJAR CONSTRUTION GOTEGAON","Payment Success","250000"
"13809","Karnataka","Construction of rooms and halls in school and colleges","WS/MP838/2024-2025/80167","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","26-Aug-2024","PROJECT MANAGER NIRMITHI KENDRA MANDYA","Payment Success","1500000"
"13810","Karnataka","Construction of rooms and halls in school and colleges","WS/MP838/2024-2025/80167","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","10-Jan-2025","PROJECT MANAGER NIRMITHI KENDRA MANDYA","Payment Success","500000"
"13811","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/15150","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","25-Oct-2024","BALDEV KRISHAN GUPTA AND SANJ","Payment Success","69000"
"13812","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/15151","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","20-Dec-2024","BALDEV KRISHAN GUPTA AND SANJ","Payment Success","6000"
"13813","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/15151","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","20-Dec-2024","BALDEV KRISHAN GUPTA AND SANJ","Payment Success","58500"
"13814","Tamil Nadu","Construction of community centers and community halls","WS/MP165/2026-2027/213232","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","15-May-2026","Chandran KR","Payment Success","984563"
"13815","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/140608","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","03-Aug-2026","SHREE BHUJODI JUTH GRAM PANCHAYAT","Payment Success","500000"
"13816","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP166/2024-2025/112983","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","26-Jul-2024","Seenivasagam R","Payment Success","3632582"
"13817","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/268870","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","07-May-2026","SB CONTRACTOR","Payment Success","194194"
"13818","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/268870","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","07-May-2026","SB CONTRACTOR","Payment Success","259367"
"13819","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/268871","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","07-May-2026","SB CONTRACTOR","Payment Success","192128"
"13820","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/268871","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","07-May-2026","SB CONTRACTOR","Payment Success","262164"
"13821","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2025-2026/254798","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Feb-2026","SB CONTRACTOR","Payment Success","453089"
"13822","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2025-2026/252378","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Feb-2026","SB CONTRACTOR","Payment Success","456588"
"13823","Punjab","Purchase of hospital equipment","WS/MP140/2023-2024/65230","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","31-Jul-2024","N W OVERSEAS","Payment Success","536928"
"13824","Odisha","Construction of community centers and community halls","WS/MP131/2023-2024/75804","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","29-Jul-2024","PANCHAMI DHRUA","Payment Success","300000"
"13825","Punjab","Purchase of mobile sanitation equipment","WS/MP843/2024-2025/151554","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","28-May-2025","Living Thoughts Private Limited","Payment Success","4493829"
"13826","Punjab","Purchase of mobile sanitation equipment","WS/MP843/2024-2025/151554","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","30-Jun-2025","Living Thoughts Private Limited","Payment Success","2249949"
"13827","Punjab","Purchase of mobile sanitation equipment","WS/MP843/2024-2025/151554","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","16-Sep-2025","Living Thoughts Private Limited","Payment Success","2243880"
"13828","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2025-2026/156139","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","26-Feb-2026","Niyas Perapurath Keezhuveettil","Payment Success","368228"
"13829","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/201574","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","23-Sep-2025","BDO Sulah","Payment Success","75000"
"13830","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/201559","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","19-Jun-2025","BDO Sulah","Payment Success","75000"
"13831","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/201559","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","24-Oct-2025","BDO Sulah","Payment Success","74997"
"13832","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2024-2025/147270","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","22-Jan-2025","BDO Sulah","Payment Success","150000"
"13833","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2024-2025/147270","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","05-Jun-2025","BDO Sulah","Payment Success","148807"
"13834","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2024-2025/170116","GUNA(District Collector Guna_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","19-May-2026","Gram Panchayat Bishankheda","Payment Success","238928"
"13835","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2024-2025/158658","GUNA(District Collector Guna_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","22-Apr-2025","Gram Panchayat Bishankheda","Payment Success","359888"
"13836","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2024-2025/170116","GUNA(District Collector Guna_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","10-Feb-2025","Gram Panchayat Bishankheda","Payment Success","750000"
"13837","Madhya Pradesh","Construction of culverts and bridges","WS/MP107/2024-2025/158657","GUNA(District Collector Guna_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","22-Apr-2025","Gram Panchayat Bishankheda","Payment Success","359568"
"13838","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2024-2025/158658","GUNA(District Collector Guna_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","20-Jan-2025","Gram Panchayat Bishankheda","Payment Success","1125000"
"13839","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2026-2027/289248","GUNA(District Collector Guna_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","28-Jul-2026","Gram Panchayat Bishankheda","Payment Success","1000000"
"13840","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/255218","GUNA(District Collector Guna_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","04-Feb-2026","Gram Panchayat Bishankheda","Payment Success","400000"
"13841","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2024-2025/124195","GUNA(District Collector Guna_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","09-Jan-2025","Gram Panchayat Bishankheda","Payment Success","245000"
"13842","Madhya Pradesh","Construction of culverts and bridges","WS/MP107/2024-2025/158657","GUNA(District Collector Guna_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","20-Jan-2025","Gram Panchayat Bishankheda","Payment Success","1125000"
"13843","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/255218","GUNA(District Collector Guna_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","19-May-2026","Gram Panchayat Bishankheda","Payment Success","589691"
"13844","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2024-2025/124195","GUNA(District Collector Guna_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Jul-2024","Gram Panchayat Bishankheda","Payment Success","250000"
"13845","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2025-2026/181030","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","17-Jul-2025","rohit kumar","Payment Success","75590"
"13846","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2025-2026/181030","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","17-Jul-2025","rohit kumar","Payment Success","112056"
"13847","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2025-2026/181030","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","28-Oct-2025","rohit kumar","Payment Success","21399"
"13848","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2025-2026/181030","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","17-Jul-2025","jaspreet singh","Payment Success","45360"
"13849","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2024-2025/139208","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","02-Jul-2026","VINOD K R","Payment Success","744149"
"13850","Punjab","Construction of stadiums","WS/MP141/2023-2024/80691","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Mar-2025","Badhan Traders","Payment Success","17500"
"13851","Punjab","Construction of stadiums","WS/MP141/2023-2024/80691","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Mar-2025","Badhan Traders","Payment Success","15200"
"13852","Punjab","Construction of stadiums","WS/MP141/2023-2024/80691","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Mar-2025","Badhan Traders","Payment Success","25200"
"13853","Punjab","Construction of stadiums","WS/MP141/2023-2024/80691","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Mar-2025","Badhan Traders","Payment Success","9737"
"13854","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2025-2026/195654","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","26-Sep-2025","J T PATRA","Payment Success","469777"
"13855","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/48123","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","23-Sep-2024","KAMEA TECHNOLOGIES PRIVATE LIMITED","Payment Success","499940"
"13856","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/48346","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","03-Sep-2024","KAMEA TECHNOLOGIES PRIVATE LIMITED","Payment Success","499940"
"13857","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/48243","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Aug-2024","KAMEA TECHNOLOGIES PRIVATE LIMITED","Payment Success","519705"
"13858","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/48243","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","04-Jun-2025","KAMEA TECHNOLOGIES PRIVATE LIMITED","Payment Success","179171"
"13859","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/60511","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Aug-2024","KAMEA TECHNOLOGIES PRIVATE LIMITED","Payment Success","519705"
"13860","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/60511","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","04-Jun-2025","KAMEA TECHNOLOGIES PRIVATE LIMITED","Payment Success","179301"
