"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"56736","Uttar Pradesh","Street lights","WS/MP18211/2026-2027/264792","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","DEORIA","18-Jul-2026","P S ASSOCIATE","Payment Success","360490"
"56737","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18211/2026-2027/165153","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","SHASHANK MANI","DEORIA","06-Aug-2026","P S ASSOCIATE","Payment Success","722396"
"56738","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2024-2025/140684","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","KORBA","11-Nov-2024","SARPANCH GRAM PANCHAYAT NAWAGAON","Payment Success","150000"
"56739","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2024-2025/140684","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","KORBA","12-Dec-2025","SARPANCH GRAM PANCHAYAT NAWAGAON","Payment Success","49711"
"56740","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2024-2025/140683","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","KORBA","11-Nov-2024","Sarpanch Sachiv Gram Panchayat Devrikala","Payment Success","150000"
"56741","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2024-2025/140683","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","KORBA","12-Dec-2025","Sarpanch Sachiv Gram Panchayat Devrikala","Payment Success","49559"
"56742","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2024-2025/140682","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","KORBA","11-Nov-2024","Sarpanch Sachiva Gram Panchayat Damdam","Payment Success","150000"
"56743","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2024-2025/140682","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Jyotsna Charandas Mahant","KORBA","12-Dec-2025","Sarpanch Sachiva Gram Panchayat Damdam","Payment Success","50000"
"56744","West Bengal","Street lights","WS/MP859/2024-2025/150953","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","18-Mar-2025","MA ANNAPURNA LIGHT AND SOUND SYSTEM","Payment Success","742091"
"56745","West Bengal","Street lights","WS/MP859/2024-2025/150952","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","04-Apr-2025","MA ANNAPURNA LIGHT AND SOUND SYSTEM","Payment Success","282849"
"56746","West Bengal","Lighting of public spaces","WS/MP859/2025-2026/208284","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","15-Oct-2025","MA ANNAPURNA LIGHT AND SOUND SYSTEM","Payment Success","564274"
"56747","West Bengal","Lighting of public spaces","WS/MP859/2025-2026/208294","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","19-Sep-2025","MA ANNAPURNA LIGHT AND SOUND SYSTEM","Payment Success","593311"
