"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"39495","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/149560","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","01-Sep-2025","DODWADIYA CONSTRUCTION","Payment Success","392205"
"39496","Rajasthan","Installing tube-wells and borewells","WS/MP18167/2024-2025/174570","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2025","Neeraj Contractor Co Bhir","Payment Success","699887"
"39497","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP859/2024-2025/152789","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","09-Jun-2025","Jaydeb Kundu","Payment Success","483469"
"39498","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/230360","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","05-Aug-2026","GRAM PANCHAYAT LANGODRA","Payment Success","249662"
"39499","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/190995","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","10-Nov-2025","Ram Bhagwan iron taders","Payment Success","200000"
"39500","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18159/2025-2026/210307","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","BHUPENDER YADAV","ALWAR","18-Feb-2026","Divya Construction Company","Payment Success","645800"
"39501","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18152/2025-2026/241146","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","23-May-2026","SHRI RADHE KRISHAN ENTERPRISES","Payment Success","210000"
"39502","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/169462","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Nov-2025","Balraj Yadav","Payment Success","285411"
"39503","West Bengal","Purchase of hospital equipment","WS/MP859/2025-2026/174966","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","15-May-2025","Sreenath Engg Sales And Service Pvt Ltd","Payment Success","1968400"
"39504","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP431/2024-2025/176331","REWARI(District Commissioner Rewari)","Rao Inderjit Singh","GURGAON","08-Aug-2025","GRAM PANCHAYAT BAKHAPUR","Payment Success","1000000"
"39505","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2024-2025/159750","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","04-Jun-2025","Rampaul","Payment Success","120000"
"39506","Jammu And Kashmir","Construction of footpaths and pedestrian ways","WS/MP600/2024-2025/158898","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","13-Jun-2025","Rampaul","Payment Success","135000"
"39507","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2024-2025/159391","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","26-May-2025","Rampaul","Payment Success","119000"
"39508","Tamil Nadu","Providing drains and gutters for public drainage","WS/MP18265/2024-2025/154820","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","03-Jul-2025","DHANALAKSHMI S","Payment Success","1000000"
"39509","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2024-2025/157368","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","25-Sep-2025","GP Neri Kotli","Payment Success","200000"
"39510","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2024-2025/157368","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","28-Jan-2026","GP Neri Kotli","Payment Success","100000"
"39511","Madhya Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18109/2025-2026/179965","SHAHDOL(District Collector Shahdol_IDA)","DR. RAJESH MISHRA","SIDHI","06-May-2025","gram panchayat jamuniha","Payment Success","750000"
"39512","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/192434","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","03-Aug-2026","STAR CONSTRUCTION","Payment Success","297281"
"39513","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206234","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","26-Aug-2025","Karthick G","Payment Success","652437"
"39514","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206234","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","07-Oct-2025","Karthick G","Payment Success","295646"
"39515","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2024-2025/139241","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","13-May-2025","Dey Construction","Payment Success","496993"
"39516","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2025-2026/201444","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","09-Dec-2025","Dey Construction","Payment Success","259803"
"39517","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18205/2024-2025/148472","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","27-May-2025","Om Prakash Singh Yadav","Payment Success","559014"
"39518","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18205/2024-2025/148472","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","12-Nov-2025","Om Prakash Singh Yadav","Payment Success","175714"
"39519","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18205/2026-2027/243460","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","01-Aug-2026","Om Prakash Singh Yadav","Payment Success","484155"
"39520","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18088/2024-2025/156928","KOLAR(DEPUTY COMMISSIONER KOLAR_IDA)","M. MALLESH BABU","KOLAR(SC)","16-May-2025","N ASHA","Payment Success","370225"
"39521","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18088/2024-2025/156928","KOLAR(DEPUTY COMMISSIONER KOLAR_IDA)","M. MALLESH BABU","KOLAR(SC)","19-Jul-2025","N ASHA","Payment Success","123854"
"39522","Karnataka","Street lights","WS/MP18088/2024-2025/156925","KOLAR(DEPUTY COMMISSIONER KOLAR_IDA)","M. MALLESH BABU","KOLAR(SC)","17-May-2025","N ASHA","Payment Success","371000"
"39523","Karnataka","Street lights","WS/MP18088/2024-2025/156925","KOLAR(DEPUTY COMMISSIONER KOLAR_IDA)","M. MALLESH BABU","KOLAR(SC)","19-Jul-2025","N ASHA","Payment Success","123733"
"39524","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18088/2024-2025/156926","KOLAR(DEPUTY COMMISSIONER KOLAR_IDA)","M. MALLESH BABU","KOLAR(SC)","17-May-2025","N ASHA","Payment Success","370636"
"39525","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18088/2024-2025/156926","KOLAR(DEPUTY COMMISSIONER KOLAR_IDA)","M. MALLESH BABU","KOLAR(SC)","19-Jul-2025","N ASHA","Payment Success","124178"
"39526","Karnataka","Street lights","WS/MP18088/2024-2025/156929","KOLAR(DEPUTY COMMISSIONER KOLAR_IDA)","M. MALLESH BABU","KOLAR(SC)","17-May-2025","N ASHA","Payment Success","370914"
"39527","Karnataka","Street lights","WS/MP18088/2024-2025/156929","KOLAR(DEPUTY COMMISSIONER KOLAR_IDA)","M. MALLESH BABU","KOLAR(SC)","19-Jul-2025","N ASHA","Payment Success","121553"
"39528","Madhya Pradesh","Construction of culverts and bridges","WS/MP18109/2025-2026/179966","SHAHDOL(District Collector Shahdol_IDA)","DR. RAJESH MISHRA","SIDHI","07-May-2025","gram panchayat barana","Payment Success","250000"
"39529","Madhya Pradesh","Construction of culverts and bridges","WS/MP18109/2025-2026/179966","SHAHDOL(District Collector Shahdol_IDA)","DR. RAJESH MISHRA","SIDHI","01-Aug-2025","gram panchayat barana","Payment Success","250000"
"39530","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/141390","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","25-May-2025","Sajal Bricks Company","Payment Success","35400"
"39531","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/141390","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","25-May-2025","Sajal Bricks Company","Payment Success","28500"
"39532","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/141390","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","25-May-2025","Sajal Bricks Company","Payment Success","32450"
"39533","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/141390","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","25-May-2025","Sajal Bricks Company","Payment Success","38350"
"39534","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/141390","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","25-May-2025","Sajal Bricks Company","Payment Success","23600"
"39535","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/141390","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","25-May-2025","Sajal Bricks Company","Payment Success","35400"
"39536","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/141390","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","25-May-2025","Sajal Bricks Company","Payment Success","41300"
"39537","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2024-2025/141816","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","07-May-2025","Sajal Bricks Company","Payment Success","29500"
"39538","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2024-2025/141816","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","07-May-2025","Sajal Bricks Company","Payment Success","26550"
"39539","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2024-2025/141817","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Jan-2026","Sajal Bricks Company","Payment Success","4800"
"39540","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2025-2026/233570","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","08-Apr-2026","GRAM PANCHAYAT VIROL","Payment Success","100000"
"39541","Rajasthan","Purchase of ambulances (Four, three and two wheelers)","WS/MP18169/2024-2025/178508","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","27-May-2025","VISHAL MOTOR BODY BUILDERS","Payment Success","62894"
"39542","Punjab","Construction of public irrigation facilities","WS/MP18154/2025-2026/193229","PATHANKOT(DEPUTY COMMISSIONER PATHANKOT_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","17-Oct-2025","THE NAKKI CO OP LC SOCIETY LTD","Payment Success","589168"
"39543","Punjab","Construction of public irrigation facilities","WS/MP18154/2025-2026/193229","PATHANKOT(DEPUTY COMMISSIONER PATHANKOT_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","20-Mar-2026","THE NAKKI CO OP LC SOCIETY LTD","Payment Success","364214"
"39544","West Bengal","Construction of footpaths and pedestrian ways","WS/MP826/2024-2025/135706","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","23-Sep-2025","Sapan Kharga","Payment Success","469178"
"39545","West Bengal","Construction of boundary walls of existing public and community buildings","WS/MP826/2024-2025/166842","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","25-Sep-2025","Sapan Kharga","Payment Success","474750"
"39546","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18160/2024-2025/164419","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","07-May-2025","ROYAL ENTERPRISES","Payment Success","500000"
"39547","West Bengal","Construction of additional rooms and halls in the existing public and community building","WS/MP826/2026-2027/225888","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","18-Aug-2026","Ms S Sarki","Payment Success","345759"
"39548","West Bengal","Providing drains and gutters for public drainage","WS/MP826/2024-2025/135702","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","08-Aug-2025","Shri Arjun Gurung","Payment Success","942409"
"39549","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP858/2024-2025/140428","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","11-Feb-2026","CHAUDHURI ASHRAFUL KARIM","Payment Success","382499"
"39550","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP858/2024-2025/140431","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","18-Jun-2025","SAMIRUL CONSTRUCTION","Payment Success","356398"
"39551","West Bengal","Construction of boundary walls of existing public and community buildings","WS/MP826/2024-2025/135703","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","29-Jan-2026","Tshering Panday Sherpa","Payment Success","469796"
"39552","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP858/2024-2025/141387","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","10-Dec-2025","SK KALU","Payment Success","979687"
"39553","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP858/2024-2025/141388","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","21-May-2025","SK KALU","Payment Success","354121"
"39554","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP858/2024-2025/140483","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","05-Sep-2025","ATIYAR RAHAMAN","Payment Success","356112"
"39555","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18107/2025-2026/178617","JHABUA(DISTRICT COLLECTOR JHABUA_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","09-May-2025","Gram Panchayat Khedi","Payment Success","428000"
"39556","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP444/2024-2025/149425","HARDA(District Collector Harda_IDA)","Durga Das Uikey","BETUL(ST)","08-May-2025","Munna Husain","Payment Success","431220"
"39557","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP444/2024-2025/149425","HARDA(District Collector Harda_IDA)","Durga Das Uikey","BETUL(ST)","08-May-2025","Munna Husain","Payment Success","14200"
"39558","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18375/2025-2026/187682","RAISEN(DISTRICT COLLECTOR RAISEN_IDA)","SHIVRAJ SINGH CHOUHAN","VIDISHA","08-May-2025","GP BEEDPURA JP SANCHI","Payment Success","500000"
"39559","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18375/2025-2026/187682","RAISEN(DISTRICT COLLECTOR RAISEN_IDA)","SHIVRAJ SINGH CHOUHAN","VIDISHA","28-Jul-2026","GP BEEDPURA JP SANCHI","Payment Success","500000"
"39560","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18375/2025-2026/187689","RAISEN(DISTRICT COLLECTOR RAISEN_IDA)","SHIVRAJ SINGH CHOUHAN","VIDISHA","08-May-2025","GP SADALATPUR JP SANCHI","Payment Success","500000"
"39561","Gujarat","Providing drains and gutters for public drainage","WS/MP579/2025-2026/233166","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","10-Jul-2026","GRAM PANCHAYAT DABHOU","Payment Success","100000"
"39562","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2025-2026/192914","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","01-Jul-2025","GRAM PANCHAYAT DABHOU","Payment Success","20196"
"39563","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2025-2026/192915","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","01-Jul-2025","GRAM PANCHAYAT DABHOU","Payment Success","70000"
"39564","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2025-2026/192916","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","01-Jul-2025","GRAM PANCHAYAT DABHOU","Payment Success","25000"
"39565","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2025-2026/175477","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","16-Jun-2025","GRAM PANCHAYAT SAHAJPURI","Payment Success","250000"
"39566","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2025-2026/163625","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","05-Jul-2025","GRAM PANCHAYAT SINGHORI","Payment Success","250000"
"39567","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2025-2026/175400","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","30-May-2025","GRAM PANCHAYAT GHUGHRA","Payment Success","250000"
"39568","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2026-2027/274769","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","19-Jun-2026","GRAM PANCHAYAT GHUGHRA","Payment Success","300000"
"39569","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2025-2026/175502","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","05-Jul-2025","GRAM PANCHAYAT DEELWARA","Payment Success","250000"
"39570","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2025-2026/175502","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","02-Feb-2026","GRAM PANCHAYAT DEELWARA","Payment Success","250000"
"39571","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/175397","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","27-May-2025","GRAM PANCHAYAT PADMI","Payment Success","100000"
"39572","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP640/2025-2026/175398","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","30-May-2025","GRAM PANCHAYAT PADMI","Payment Success","100000"
"39573","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2025-2026/178487","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","23-May-2025","GRAM PANCHAYAT JHULPUR","Payment Success","250000"
"39574","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2025-2026/178487","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","30-Jul-2026","GRAM PANCHAYAT JHULPUR","Payment Success","249709"
"39575","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2025-2026/175395","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","18-Jun-2025","GRAM PANCHAYAT KONDRAMAL NARAYANGANJ","Payment Success","250000"
"39576","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2025-2026/175395","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","31-Jan-2026","GRAM PANCHAYAT KONDRAMAL NARAYANGANJ","Payment Success","250000"
"39577","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2025-2026/158760","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","05-Jul-2025","GRAM PANCHAYAT KHALOUDI","Payment Success","250000"
"39578","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2025-2026/158759","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","05-Jul-2025","GRAM PANCHAYAT KUMHALI","Payment Success","250000"
"39579","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2025-2026/172350","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","12-Jun-2025","GRAM PANCHAYAT KHAMHERKHEDA","Payment Success","250000"
"39580","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2025-2026/172350","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","11-Apr-2026","GRAM PANCHAYAT KHAMHERKHEDA","Payment Success","249927"
"39581","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/164835","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","03-Jun-2025","GRAM PANCHAYAT UMARIYA","Payment Success","125000"
"39582","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2025-2026/164834","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","02-Jun-2025","GRAM PANCHAYAT SUDGAON","Payment Success","250000"
"39583","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2025-2026/164834","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","23-Jun-2026","GRAM PANCHAYAT SUDGAON","Payment Success","247284"
"39584","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/165414","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","02-Jun-2025","GRAM PANCHAYAT PIPARIYA RAIYAT","Payment Success","125000"
"39585","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2025-2026/175394","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","30-May-2025","GRAM PANCHAYAT DHAURGAON","Payment Success","250000"
"39586","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2025-2026/175394","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","21-Mar-2026","GRAM PANCHAYAT DHAURGAON","Payment Success","248318"
"39587","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/164836","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","03-Jun-2025","GRAM PANCHAYAT MUNGWANI","Payment Success","150000"
"39588","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/164839","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","02-Jun-2025","GRAM PANCHAYAT GITHAR","Payment Success","150000"
"39589","Karnataka","Construction of community centers and community halls","WS/MP18093/2025-2026/182007","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","07-Mar-2026","K N HARSHA","Payment Success","2220313"
"39590","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/175414","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","02-Jun-2025","GRAM PANCHAYAT PARASWADA","Payment Success","100000"
"39591","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/175414","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","30-Jul-2026","GRAM PANCHAYAT PARASWADA","Payment Success","100000"
"39592","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/175415","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","02-Jun-2025","GRAM PANCHAYAT PARASWADA","Payment Success","100000"
"39593","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/175415","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","30-Jul-2026","GRAM PANCHAYAT PARASWADA","Payment Success","100000"
"39594","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/175416","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","11-Jun-2025","GRMA PANCHAYAT KATRA","Payment Success","100000"
"39595","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/175417","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","11-Jun-2025","GRAM PANCHAYAT GONJHIMAL","Payment Success","100000"
"39596","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2025-2026/164837","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","05-Jul-2025","GRAM PANCHAYAT BADJHAR","Payment Success","100000"
"39597","Telangana","Improvement of electricity distribution infrastructure","WS/MP770/2025-2026/243148","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","12-Feb-2026","DE OP TSNPDCL KNR","Payment Success","245000"
